ID,Age,Salary,Experience,City,Rating
1,58,65222.0,16.0,San Francisco,4.738455989358839
2,0,93335.0,,New York,3.553082375373401
3,34,40965.0,2.0,San Francisco,3.0667850297062667
4,27,54538.0,1.0,Los Angeles,3.6284453140006674
5,40,38110.0,12.0,Chicago,2.742691594711564
6,58,57266.0,5.0,New York,3.920157266247274
7,38,82992.0,,,1.1908645107665952
8,42,36910.0,32.0,New York,3.264148841976305
9,30,30206.0,9.0,San Francisco,1.634585790569964
10,30,53419.0,35.0,New York,1.4806585912225687
11,43,80636.0,19.0,San Francisco,2.3675186668656063
12,0,80015.0,16.0,San Francisco,
13,59,84268.0,,Los Angeles,1.3766279530742405
14,43,48141.0,20.0,,2.2456532375651768
15,22,,24.0,Los Angeles,4.918042114486035
16,41,,33.0,,
17,21,63827.0,24.0,Chicago,1.068644407327001
18,43,85820.0,11.0,Chicago,4.053457692015644
19,49,92623.0,8.0,Chicago,4.227651908203118
20,57,52299.0,36.0,San Francisco,2.385217284357603
21,21,73585.0,38.0,Los Angeles,2.8586952517584456
22,0,94044.0,20.0,Los Angeles,3.599094730571053
23,52,72557.0,35.0,,1.192235696788135
24,0,79080.0,25.0,Chicago,4.796582926365543
25,41,32693.0,35.0,Chicago,4.54672154919219
26,44,99163.0,25.0,Los Angeles,2.043574493366856
27,46,55939.0,29.0,,1.061218161161539
28,47,78925.0,18.0,New York,
29,35,72941.0,18.0,,
30,0,51834.0,2.0,Chicago,3.15750979360025
31,22,48047.0,35.0,Los Angeles,3.735855077592564
32,56,,16.0,,3.4634046575596558
33,26,45707.0,,Los Angeles,4.775566418243029
34,40,51976.0,33.0,Los Angeles,4.77700638850067
35,28,74262.0,4.0,,4.468795734220015
36,58,53776.0,,Los Angeles,
37,37,60080.0,,New York,4.203797178729599
38,23,96842.0,21.0,San Francisco,3.708673369531927
39,44,,20.0,Los Angeles,3.293468166687733
40,33,36776.0,,Los Angeles,1.5140014129356407
41,28,85016.0,7.0,Chicago,4.244816706944012
42,45,,3.0,Los Angeles,4.282557902975821
43,21,88053.0,17.0,Chicago,3.5037586804062912
44,39,,,San Francisco,4.281707375085072
45,47,35530.0,12.0,,3.605939087431152
46,26,33748.0,,,1.8267374395069813
47,0,43545.0,22.0,San Francisco,2.095844509284535
48,54,96199.0,30.0,New York,
49,33,64766.0,,San Francisco,2.5090363329119034
50,36,91087.0,38.0,San Francisco,1.1558525292409343
51,55,98840.0,8.0,San Francisco,
52,59,84384.0,27.0,New York,2.346216859554906
53,23,81005.0,27.0,Chicago,
54,21,,,San Francisco,
55,25,69353.0,21.0,Los Angeles,3.726454675891159
56,23,92003.0,30.0,New York,2.36249827785696
57,0,82733.0,,San Francisco,2.0427781129436124
58,37,95318.0,28.0,San Francisco,2.9841498171736247
59,0,53664.0,33.0,Los Angeles,3.7715614347677575
60,53,97172.0,5.0,Chicago,2.393346417812789
61,29,,19.0,Chicago,4.746592607422829
62,55,30854.0,4.0,Chicago,1.156745306702585
63,33,68623.0,35.0,San Francisco,2.671784126862315
64,50,37392.0,17.0,San Francisco,4.87032220608099
65,34,85680.0,28.0,San Francisco,3.1918875329923493
66,27,76717.0,30.0,,2.693883769232474
67,33,80859.0,29.0,Los Angeles,3.2740811349998333
68,42,56309.0,6.0,San Francisco,
69,59,93734.0,35.0,Los Angeles,3.926591021198561
70,40,82662.0,,Los Angeles,1.5107589176898624
71,35,42688.0,24.0,Chicago,
72,37,,29.0,New York,3.32217604937564
73,0,67157.0,31.0,,4.468466428838888
74,45,97863.0,35.0,Chicago,3.2474667685750944
75,44,82083.0,33.0,Chicago,1.9543874391613607
76,48,95733.0,21.0,San Francisco,3.7193791196009833
77,34,64698.0,32.0,Los Angeles,
78,20,,23.0,Chicago,1.9529446096159175
79,44,,33.0,Los Angeles,2.5109155447051794
80,0,72107.0,3.0,,3.1373098941222537
81,28,,18.0,,2.9862447627323108
82,43,45708.0,25.0,,2.558472344876814
83,20,79811.0,31.0,Los Angeles,2.1905406980372435
84,0,32811.0,3.0,Chicago,1.3999395486474535
85,43,86250.0,,Chicago,1.2139411869894756
86,0,,32.0,New York,4.834165987532794
87,36,41411.0,22.0,San Francisco,4.388572576382359
88,27,,23.0,New York,2.4196207618508825
89,0,97270.0,2.0,New York,4.827203540505826
90,54,38680.0,27.0,Los Angeles,3.707079617697213
91,52,41111.0,2.0,Los Angeles,2.93008379857057
92,0,67504.0,,New York,2.97210263108722
93,58,31802.0,17.0,Chicago,
94,47,38155.0,33.0,Los Angeles,1.3668165890339243
95,26,69384.0,9.0,San Francisco,3.409763703604476
96,28,77254.0,39.0,Los Angeles,3.214812209383203
97,27,51918.0,29.0,Los Angeles,1.850911580096916
98,31,90713.0,26.0,San Francisco,
99,53,,35.0,New York,4.12518420188481
100,0,46646.0,25.0,San Francisco,
